decimalLatitude,decimalLongitude,eventDate,scientificName,taxonConceptID,recordID,dataResourceName,occurrenceStatus,eventRemarks,eventTime,eventID,samplingEffort,samplingProtocol,basisOfRecord,recordedBy,recordedByID,eventType
-43.6867,147.04375,2021-07-10T11:48:48Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,982d119c-121b-4719-a07c-1b5a479187ec,"Fish monitoring of the shelf region of the Huon Australian Marine Park, Tasmania, Australia (2021)",PRESENT,NA,NA,22_4,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-43.6196,147.22143,2021-06-24T09:41:41Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,fd6b1e4d-c546-41ff-ae26-384a0e66df59,"Fish monitoring of the shelf region of the Huon Australian Marine Park, Tasmania, Australia (2021)",PRESENT,NA,NA,26_5,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-43.611,146.8229,2008-12-27T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,5e0fd0eb-b537-4270-93b5-be8c0d182236,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.60635,147.21711,2021-07-10T08:42:42Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,18243c69-2df3-44cd-9c82-097ceb11438a,"Fish monitoring of the shelf region of the Huon Australian Marine Park, Tasmania, Australia (2021)",PRESENT,NA,NA,18_5,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-43.6006,146.7856,2008-12-28T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,2b483b52-356b-45d9-a98f-856ebf5e72e0,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.4352,146.9906,2009-03-21T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,4a6b1f13-00db-4f81-a1cd-453584f5c6ae,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.2907,147.3301,2008-12-30T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c631559e-943e-4016-8503-de123728d717,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.1977,147.7459,2008-02-03T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,ade04b2e-0753-4440-a283-82f74799cefb,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.1422,147.96190000000001,2009-09-12T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,bac684b9-ce61-4e3b-90ea-9ff15d886196,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.1385,147.8939,2011-10-02T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c4fc710a-c7f5-4c6a-8642-d077ae185b01,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.1235,147.8848,2011-10-02T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,0c589f6f-3b88-4a13-a863-f3d6c5586881,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.033,147.9467,2009-09-13T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,604ab807-f4b3-4aca-8543-27ded46ad40f,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.0265,147.9283,2007-10-27T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,20d53671-408b-448c-9425-e565f29030e8,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-43.022,147.495,NA,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,2fe5bde5-4398-400d-9538-b719bf91b60c,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Alderton, R.",NA,NA
-42.9562,147.7051,2009-11-07T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,a0f5e2ec-096b-4ab3-bb33-2de044073eaf,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.9529,147.3499,2008-11-22T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,eb31753a-0870-4898-9456-365b37ceb6f9,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Grove, S.J.",NA,NA
-42.8845,147.9602,2008-05-03T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,7342dc82-456b-46bd-bd28-01c229797f12,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.8761,147.9377,2008-05-03T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,757860c4-51e2-4628-80dc-9722d6067df6,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.8522,147.9163,2012-10-07T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,2f3b2c31-aec9-4aeb-9406-189975f16c40,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.8477,147.9143,2012-10-07T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,39ebcaa0-8b0e-48f8-8913-9c785e9c6fe3,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.8267,147.8467,1985-12-14T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,aebd2644-ab27-4880-a509-e00a23492f91,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Turner, E.",NA,NA
-42.8246,147.8714,2006-04-17T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,23f065a1-6e52-462f-8bca-0fe52afd798b,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.8246,147.8714,2010-05-23T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c306e183-3d59-4b1a-b41a-ddf2d525f0b0,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.8246,147.8714,2005-05-21T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,a602674a-7423-4b5e-ab05-d2854f15c4df,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.82,147.87,1989-12-07T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,85b4e1bf-20e2-45c0-8216-125bb52c195d,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Turner, E.",NA,NA
-42.7508,147.8932,2011-01-23T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,7fc4d854-1856-40bc-90c9-10b77ecb872e,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6866,148.0734,2011-12-29T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,668b3c93-cc1e-41cc-982d-5d33b52524ae,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6866,148.0734,2007-01-02T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,ffdcda70-054e-42bc-a98f-585e04e0c200,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6866,148.0734,2009-01-17T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,e4dd4d0d-fa0f-4236-9daa-68bb70ff13ac,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6866,148.0734,2008-03-29T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,687e56d7-62da-4756-9f68-3ff0a7f2c484,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6613,148.0114,2011-12-28T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,8359a7e0-abe8-4c11-a674-fb5cfcbc30c9,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6468,148.0384,2011-12-29T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,6086c1f2-a20b-45ea-bc99-0eb134bfdce5,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6468,148.0384,2009-01-17T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,375d23dc-e085-4321-ac50-79d4f707bb20,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6349,148.034,2009-01-18T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,bcda694a-2ab1-45ad-9638-01f58f724175,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6305,148.0267,2011-12-30T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,b1b6a7a6-0b9e-4f6c-817a-5eabb7c59f91,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.619,148.0373,2008-03-29T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,eeae1b51-2216-4e2a-8b10-176abe3dae5a,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.619,148.0373,2009-01-18T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,ab8b7fd3-8210-41f6-869b-795e1635dacd,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6148,147.9384,2009-01-25T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,47d5ce52-9090-477c-b3e3-e8a417d28a9c,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6097,148.0458,2011-12-30T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,d4fbe842-3d2b-437e-acb3-129a99eac8df,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.6025,148.04628,2006-11-03T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,2fcae71c-7451-4bf6-9b3f-bec2179b5201,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.59211,148.05035,1993-09-14T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,1c63f0af-1c3e-49f8-8d7e-e18415c5611f,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.5891,148.0552,2009-01-19T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,012a1e92-acf5-437b-aa07-d8c3d695cda5,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.5891,148.0552,2009-12-30T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,900b624e-b756-46c8-948f-f3b53ff7bc18,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.58626,148.0519,1994-03-05T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,c5e38400-3c21-43c5-aca3-6175da89bbd3,"Condition of rocky reef communities around Tasmania: invertebrate surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.58268,148.0546,1993-09-14T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,2c682028-6751-4e57-af9d-8180fd890741,"Condition of rocky reef communities around Tasmania: invertebrate surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.5819,148.0604,2009-01-19T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,d092f0fe-65b5-406d-961e-14e7bd52468a,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.5819,148.0604,2008-03-27T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,480772bc-6b33-49e4-ba5e-d82c71baddaa,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.57373,148.08046,1992-08-21T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,784e330f-7837-4f1c-9ba8-acbd126fbe0c,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.57373,148.08046,1992-08-21T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,fc857fc6-768a-457a-8530-9d445f1ac74d,"Condition of rocky reef communities around Tasmania: invertebrate surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.5623,148.06735,1992-09-08T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,117a7011-9826-457a-a214-5d54ced2efbc,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.5623,148.06735,2007-03-20T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,af8ee0af-788b-453d-98ae-f7bd74cf431c,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.5623,148.06735,1992-09-08T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,65831ea9-1c76-4fae-9b3f-e10425244d5d,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.55305,147.94814,1993-10-05T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,227fd31a-19e7-42ad-8450-952d0f4c1faf,"Condition of rocky reef communities around Tasmania: invertebrate surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.4148,147.9852,2012-09-22T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,8f8826ba-e235-401e-92d6-24aa18510c6a,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.4012,147.9841,2009-01-30T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,62fd58ed-edc8-4044-a415-d7042f77f0ad,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.3079,148.0003,2009-01-30T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,7f6a8093-2ccd-41d7-b9e9-794a8a8c8011,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.2997,148.2786,2010-02-06T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,6c942154-9c27-449b-9ac5-9bb14725f743,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.29524,148.27636999999999,1992-10-01T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,74f85193-09c4-4ed6-badb-dc77f11a18b3,"Condition of rocky reef communities around Tasmania: invertebrate surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.2933,148.2559,2010-02-07T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,1ce32c1e-9b72-4244-bfc8-70009a0b6dd0,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.255,148.281,1987-04-18T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,8b1af80f-2058-4875-b727-9180d6d8ff03,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Turner, E.",NA,NA
-42.2307,148.0216,1993-01-18T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,657bc93b-3872-43ee-8919-b31b4c54fae9,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Turner, E.",NA,NA
-42.21498,148.27242,2006-11-09T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,26202ff6-76ce-4795-aa27-a64e2e9cb226,"Condition of rocky reef communities around Tasmania: invertebrate surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.1857,148.0684,2009-01-30T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,1961f31b-4e75-4b63-a3ec-3a0f7bf2f95d,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-42.18272,148.34564,2006-11-17T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,51d21693-d01f-43f0-938a-b7d070f8ceb5,"Condition of rocky reef communities around Tasmania: fish surveys, Australia (1992-1995 and 2006-2007)",PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,NA
-42.15,145.316,1942-04-16T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,3900d515-d5e0-410f-ac9b-34302520a0ee,Australian Museum provider for OZCAM,PRESENT,NA,NA,urn:australianmuseum.net.au:Events:10037467,NA,NA,PRESERVED_SPECIMEN,"Whitley, G.P.",NA,NA
-42.145,145.264,NA,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,148428ae-bd4f-4fc5-b5b5-d32a69b2a98d,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,NA,PRESERVED_SPECIMEN,"Rattenbury, H.R.",NA,NA
-42.1254,148.2963,1984-10-14T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,4cfaaa2c-3fff-420d-8c80-55ee47112fcd,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Turner, J.A.",NA,NA
-42.046,148.287,1986-01-02T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,fb3db46f-d337-42f4-bac1-50346e3b2a38,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Jenkins, W.",NA,NA
-41.9311,148.3069,2009-01-31T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,10b663d9-a624-4c91-8a85-dfd65e380283,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-41.9293,145.1739,2013-01-09T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,487543fe-4758-4101-90b1-cb59b74a1013,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-41.8639,148.2865,2012-09-20T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,096d48f8-0125-4ca1-9a99-6a8bd5b1a59c,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-41.8592,148.2907,2012-09-20T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,26ea19b6-1f3d-462d-a75f-281253d74a99,Tasmanian Marine Molluscs Observational Records (2003-2017),PRESENT,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,"Grove, Simon",NA,NA
-41.8563,148.2796,2012-09-22T00:00:00Z,Sepia apama,https://biodiversity.org.au/afd/taxa/6ca53aca-b8e1-4a4f-9e95-3ed69d3deaf1,cf7fcd96-bd9b-46f0-86c3-c1d017b7b329,Tasmanian Museum and Art Gallery provider for OZCAM,PRESENT,NA,NA,NA,NA,By hand,PRESERVED_SPECIMEN,"Grove, S.J.",NA,NA
